title,price,specs,rating
M-tech L 21,"₹1,049","32 MB RAM | 32 MB ROM | Expandable Upto 16 GB
2.4 inch QVGA Display
0.3MP Rear Camera
1800 mAh Battery
",4
M-tech L 21,"₹1,049","32 MB RAM | 32 MB ROM | Expandable Upto 16 GB
2.4 inch QVGA Display
0.3MP Rear Camera
1800 mAh Battery
",4
"Intex Aqua Sense 5.0 (White, 8 GB)","₹3,299","512 MB RAM | 8 GB ROM | Expandable Upto 32 GB
5 inch quarter HD Display
5MP Rear Camera
2000 mAh Battery
SC7731 Processor
",3.8
Mido 3300,₹599,"32 MB RAM | 32 MB ROM | Expandable Upto 8 GB
1.8 inch QVGA Display
0.3MP Rear Camera
1450 mAh Battery
",3.4
"VIVO Y55L (Grey, 16 GB)","₹9,949","2 GB RAM | 16 GB ROM |
5.2 inch Display
8MP Rear Camera | 5MP Front Camera
2650 mAh Battery
qualcomm 0 Octa Core 1.4GHz Processor
",4.2
"Honor Bee (Black, 8 GB)","₹4,250","1 GB RAM | 8 GB ROM | Expandable Upto 32 GB
4.5 inch FWVGA Display
8MP Rear Camera | 2MP Front Camera
1730 mAh Battery
Spreadtrum SC7731 Cortex-A7 Quad Core 1.2GHz Processor
",3.9
Kechaoda K10,₹880,"32 MB RAM | 32 MB ROM |
0.66 inch NA Display
0.2MP Rear Camera
300 mAh Battery
",4.1
QFX S24,₹999,"32 MB RAM | 32 MB ROM |
2.4 inch Display
0.3MP Rear Camera
1450 mAh Battery
",
JIVI X3i,₹780,"1 MB RAM | 1 MB ROM | Expandable Upto 8 GB
1.8 inch QVGA Display
1.3MP Rear Camera
800 mAh Battery
",3.2
"Lenovo A7700 (White, 16 GB)","₹7,899","2 GB RAM | 16 GB ROM | Expandable Upto 32 GB
5.5 inch HD Display
8MP Rear Camera | 2MP Front Camera
2900 mAh Li-Polymer Battery
MediaTek MT6735P 64-bit Processor
",3.9
1+1=2 D10,₹679,"32 MB RAM | 32 MB ROM | Expandable Upto 16 GB
1.8 inch QVGA Display
0.3MP Rear Camera
1200 mAh Battery
",3.3
Kechaoda K 55,₹945,"100 MB RAM | 250 MB ROM |
1.4 inch Display
0.3MP Rear Camera
400 mAh Battery
",3.8
Mafe Omega Plus,₹829,"32 MB RAM | 64 MB ROM | Expandable Upto 32 GB
1.8 inch Quarter QVGA Display
1050 mAh Battery
",3
Mafe Omega Plus,₹829,"32 KB ROM | Expandable Upto 16 GB
1.8 inch QVGA Display
0.3MP Rear Camera
2400 mAh Battery
",3.7
M-tech Jumbo,₹900,"32 MB RAM | 32 MB ROM | Expandable Upto 16 GB
1.8 inch Quarter QVGA Display
0.3MP Rear Camera
2500 mAh Battery
",3.7
Mafe Omega Plus,₹875,"32 MB RAM | 64 MB ROM | Expandable Upto 32 GB
1.8 inch Quarter QVGA Display
1050 mAh Battery
",3
Kechaoda K28,₹935,"32 MB RAM | 64 MB ROM | Expandable Upto 16 GB
2.4 inch QVGA Display
0.3MP Rear Camera
1700 mAh Battery
",3.5
Mafe Omega Plus,₹849,"32 MB RAM | 64 MB ROM | Expandable Upto 32 GB
1.8 inch Quarter QVGA Display
1050 mAh Battery
",3
"Intex Aqua Zenith (Black, 8 GB)","₹4,561","1 GB RAM | 8 GB ROM | Expandable Upto 128 GB
5 inch FWVGA Display
5MP Rear Camera | 2MP Front Camera
2000 mAh Li-Ion Battery
MTK6737M Processor
",3.7
Mafe Omega Plus,₹829,"32 MB RAM | 64 MB ROM | Expandable Upto 32 GB
1.8 inch Quarter QVGA Display
1050 mAh Battery
",3
Micromax X615,"₹1,049","2.4 inch Display
0.3MP Rear Camera
1000 mAh Battery
",3.9
Mafe Hero,₹959,"32 MB RAM | 64 MB ROM |
2.4 inch Quarter QVGA Display
1800 mAh Battery
",3.5
M-tech G17,₹759,"32 MB RAM | 32 MB ROM | Expandable Upto 8 GB
1.8 inch Display
0.3MP Rear Camera
1000 mAh Battery
",4.3
I Kall K14 New,₹629,"32 MB RAM | 64 MB ROM |
1.8 inch Display
800 mAh Battery
",3.9
"Micromax Bolt A79 (White, 4 GB)","₹4,800","512 MB RAM | 4 GB ROM |
4 inch HVGA Display
2MP Rear Camera
1400 mAh Battery
",3.4
"Intex Aqua Lions 2 (Rose Gold, 8 GB)","₹4,490","1 GB RAM | 8 GB ROM | Expandable Upto 64 GB
5 inch FWVGA Display
5MP Rear Camera | 5MP Front Camera
2400 mAh Li-ion Battery
SC9832 Cortex-A7MP 32-bit Processor
",3.7
"Samsung Galaxy S5 (Shimmery White, 16 GB)","₹21,999","2 GB RAM | 16 GB ROM | Expandable Upto 128 GB
5.1 inch Full HD Display
16MP Rear Camera | 2MP Front Camera
2800 mAh Li-Ion Battery
Exynos Adonis Prime2 Octa Core 1.9GHz Processor
",3.8
I Kall K130 Combo of Two Mobiles,"₹1,099","32 MB RAM | 64 MB ROM |
1.8 inch Display
0.3MP Rear Camera
800 mAh Battery
",3.2
"Kara Mega 2 (4G Volte) (Black, 16 GB)","₹5,999","2 GB RAM | 16 GB ROM | Expandable Upto 64 GB
5 inch Display
13MP Rear Camera
3000 mAh Battery
Mediatek 6737 Processor
",3.5
"Gionee S6 (Gold, 32 GB)","₹11,999","3 GB RAM | 32 GB ROM | Expandable Upto 128 GB
5.5 inch HD Display
13MP Rear Camera | 5MP Front Camera
3150 mAh Li-Polymer Battery
Mediatek MT6753 Processor
",4
Gfive Pro,₹625,"32 KB ROM | Expandable Upto 16 GB
1.8 inch QVGA Display
0.3MP Rear Camera
1050 mAh Battery
",3.7
Zen X45,"₹1,099","32 MB RAM | 32 MB ROM |
2.4 inch Display
1.3MP Rear Camera
1000 mAh Battery
",3.5
"Lenovo K8 (Fine Gold, 32 GB)","₹9,150","3 GB RAM | 32 GB ROM | Expandable Upto 128 GB
5.2 inch HD Display
13MP Rear Camera | 8MP Front Camera
4000 mAh Battery
MTK P20 Processor
",4
Teckmax 37 Mini,₹799,"32 MB RAM | 100 MB ROM |
1.44 inch Display
850 mAh Battery
",3.4
Yxtel X801,₹999,"35 MB RAM | 35 MB ROM |
2.8 inch Display
1.3MP Rear Camera
1500 mAh Battery
",3
"Apple iPhone 6 (Silver, 64 GB)","₹44,999","64 GB ROM |
4.7 inch Retina HD Display
8MP Rear Camera | 1.2MP Front Camera
Li-Ion Battery
A8 Chip with 64-bit Architecture and M8 Motion Co-processor
",4.6
Gfive U220+ Pack of Four Mobiles,"₹2,235","32 MB RAM | 64 MB ROM | Expandable Upto 16 GB
1.8 inch Quarter QVGA Display
0.3MP Rear Camera
1000 mAh Battery
",3.7
MTR Mt311,₹599,"64 MB RAM | 64 MB ROM |
1.77 inch Display
0.3MP Rear Camera
800 mAh Battery
",4
M-tech L 21,"₹1,049","32 MB RAM | 32 MB ROM | Expandable Upto 16 GB
2.4 inch QVGA Display
0.3MP Rear Camera
1800 mAh Battery
",4
"Sony Xperia X Dual Sim (Rose Gold, 64 GB)","₹24,990","3 GB RAM | 64 GB ROM | Expandable Upto 200 GB
5 inch Full HD Display
23MP Rear Camera | 13MP Front Camera
2620 mAh Li-Ion Battery
Qualcomm Snapdragon 650 64-bit 0 1.8MHz Processor
",4
JIVI X570,₹898,"24 MB RAM | 24 MB ROM |
1.8 inch Display
0.3MP Rear Camera
1750 mAh Battery
",3.5
1+1=2 D1,₹649,"32 MB RAM | 64 MB ROM | Expandable Upto 32 GB
1.8 inch Quarter QVGA Display
0.3MP Rear Camera
1200 mAh Battery
",3.6
1+1=2 D1,₹649,"32 MB RAM | 64 MB ROM | Expandable Upto 32 GB
1.8 inch Quarter QVGA Display
0.3MP Rear Camera
1200 mAh Battery
",3.6
Celkon C26,"₹1,225","10 KB ROM |
2.4 inch QVGA Display
1.3MP Rear Camera
800 mAh Battery
",3.5
1+1=2 D1,₹649,"32 MB RAM | 64 MB ROM | Expandable Upto 32 GB
1.8 inch Quarter QVGA Display
0.3MP Rear Camera
1200 mAh Battery
",3.6
"Apple iPhone 6 (Gold, 64 GB)","₹53,074","64 GB ROM |
4.7 inch Retina HD Display
8MP Rear Camera | 1.2MP Front Camera
Li-Ion Battery
A8 Chip with 64-bit Architecture and M8 Motion Co-processor
",4.6
GLX W5 Pack of Three Mobiles,"₹1,729","32 MB RAM | 64 MB ROM | Expandable Upto 8 GB
1.8 inch Quarter QVGA Display
0.3MP Rear Camera
950 mAh Battery
",3.2
Lemon Lemo 106,₹750,"1 MB RAM | 1 MB ROM | Expandable Upto 16 GB
1.8 inch Display
1000 mAh Battery
",3.9
1+1=2 D7,₹569,"32 MB RAM | 64 MB ROM | Expandable Upto 32 GB
1.8 inch Quarter QVGA Display
0.3MP Rear Camera
1200 mAh Battery
",3.3
"XOLO BLACK (Black, 16 GB)","₹11,936","2 GB RAM | 16 GB ROM | Expandable Upto 32 GB
5.5 inch Full HD Display
13MP Rear Camera | 5MP Front Camera
3200 mAh Li-Polymer Battery
Qualcomm Snapdragon 615 MSM8939 64-bit Cortex-A53 Processor
",3
MTR Mt105,₹549,"64 MB RAM | 64 MB ROM |
1.8 inch Display
0.3MP Rear Camera
800 mAh Battery
",3
"M-tech ACE PRO 4G (Black, 512 MB)","₹2,589","512 MB RAM | 512 MB ROM |
4 inch WVGA Display
3.2MP Rear Camera | 1.3MP Front Camera
1800 mAh Battery
SPREADTRUM 9832A, ARM Cortex-A7 Processor
",3
Mafe Lite,₹719,"32 MB RAM | 64 MB ROM | Expandable Upto 32 GB
1.8 inch Quarter QVGA Display
1050 mAh Battery
",3.6
Lava Captain 9s,₹965,"32 MB RAM | 32 KB ROM | Expandable Upto 32 GB
1.8 inch Display
0.3MP Rear Camera
1750 mAh Battery
",4
Mafe Lite,₹719,"32 MB RAM | 64 MB ROM | Expandable Upto 32 GB
1.8 inch Quarter QVGA Display
1050 mAh Battery
",3.6
Ziox S223,"₹1,099","20 KB ROM |
2.4 inch QVGA Display
0.3MP Rear Camera
1750 mAh Battery
",3.9
"Micromax Canvas 5 Lite Q462 (Brown, 16 GB)","₹4,499","2 GB RAM | 16 GB ROM | Expandable Upto 32 GB
5 inch Display
8MP Rear Camera | 5MP Front Camera
2000 mAh Battery
Cortex-A53 Processor
",3.7
GLX W5 Pack of Three Mobiles,"₹1,649","32 MB RAM | 64 MB ROM | Expandable Upto 8 GB
1.8 inch Quarter QVGA Display
0.3MP Rear Camera
950 mAh Battery
",3.2
Ziox Thunder Elite,₹949,"128 MB RAM | 20 MB ROM |
2.4 inch Display
0.3MP Rear Camera
2400 mAh Battery
",4.7
Mafe Lite,₹719,"32 MB RAM | 64 MB ROM | Expandable Upto 32 GB
1.8 inch Quarter QVGA Display
1050 mAh Battery
",3.6
GLX W5 Pack of Three Mobiles,"₹1,649","32 MB RAM | 64 MB ROM | Expandable Upto 8 GB
1.8 inch Quarter QVGA Display
0.3MP Rear Camera
950 mAh Battery
",3.2
Mafe Glow,"₹1,159","64 MB RAM | 64 MB ROM | Expandable Upto 16 GB
2.4 inch QVGA Display
0.3MP Rear Camera
1800 mAh Battery
",4.6
"LYF Water F1S (Black, 32 GB)","₹8,499","3 GB RAM | 32 GB ROM | Expandable Upto 128 GB
5.2 inch Full HD Display
16MP Rear Camera | 5MP Front Camera
3000 mAh Battery
Qualcomm Snapdragon 652 Octa Core 1.8GHz Processor
",3.8
M-tech Trendy+,"₹1,259","32 MB RAM | 32 MB ROM | Expandable Upto 16 GB
2.8 inch QVGA Display
0.08MP Rear Camera | 0.08MP Front Camera
2800 mAh Battery
",3.5
"HTC Desire 728 Dual Sim (LTE + LTE) (Purple Myst, 16 GB)","₹11,999","2 GB RAM | 16 GB ROM | Expandable Upto 2 TB
5.5 inch HD Display
13MP Rear Camera | 5MP Front Camera
2800 mAh Li-Ion Battery
MT6753 Processor
",3.8
Mafe Glow,"₹1,089","64 MB RAM | 64 MB ROM | Expandable Upto 16 GB
2.4 inch QVGA Display
0.3MP Rear Camera
1800 mAh Battery
",4.6
GLX W5 Pack of Three Mobiles,"₹1,649","32 MB RAM | 64 MB ROM | Expandable Upto 8 GB
1.8 inch Quarter QVGA Display
0.3MP Rear Camera
950 mAh Battery
",3.2
Mafe GLOW,"₹1,159","32 KB ROM | Expandable Upto 16 GB
2.4 inch QVGA Display
0.3MP Rear Camera
1800 mAh Battery
",4.6
Mymax M44,₹525,"32 MB RAM | 32 MB ROM |
1.8 inch Display
1.3MP Rear Camera
1000 mAh Battery
",3.2
Mafe X5,₹729,"32 MB RAM | 64 MB ROM | Expandable Upto 16 GB
1.8 inch Quarter QVGA Display
0.3MP Rear Camera
1050 mAh Battery
",3.2
"LG G5 (Titan, 32 GB)","₹52,990","4 GB RAM | 32 GB ROM | Expandable Upto 200 GB
5.3 inch Quad HD Display
16MP Rear Camera | 8MP Front Camera
2800 mAh Li-Ion Battery
Qualcomm Snapdragon 820 64-bit Processor
",4
Mafe X5,₹729,"32 MB RAM | 64 MB ROM | Expandable Upto 16 GB
1.8 inch Quarter QVGA Display
0.3MP Rear Camera
1050 mAh Battery
",3.2
Ssky K3 Star,₹699,"32 MB RAM | 64 MB ROM |
1.8 inch Display
1.3MP Rear Camera
1050 mAh Battery
",4.6
"Swipe Neo Power (Gold, 4 GB)","₹2,590","512 MB RAM | 4 GB ROM |
4 inch Display
5MP Rear Camera
2500 mAh Battery
",3.4
GLX U505 Pack of Four Mobiles,"₹2,299","32 MB RAM | 64 MB ROM | Expandable Upto 8 GB
1.8 inch Quarter QVGA Display
0.3MP Rear Camera
950 mAh Battery
",4.6
"M-tech ACE PRO 4G (Black & Silver, 512 MB)","₹2,589","512 MB RAM | 512 MB ROM |
4 inch WVGA Display
3.2MP Rear Camera | 1.3MP Front Camera
1800 mAh Battery
",3
1+1=2 D7,₹569,"32 MB RAM | 64 MB ROM | Expandable Upto 32 GB
1.8 inch Quarter QVGA Display
0.3MP Rear Camera
1200 mAh Battery
",3.3
BlackBear B5 Volcano,₹899,"512 MB RAM | 512 MB ROM | Expandable Upto 32 GB
1.8 inch Display
0.3MP Rear Camera | 0.3MP Front Camera
2000 mAh Battery
",3.5
"OPPO A71 (Gold, 16 GB)","₹10,499","3 GB RAM | 16 GB ROM | Expandable Upto 256 GB
5.2 inch HD Display
13MP Rear Camera | 5MP Front Camera
3000 mAh Lithium Battery
Mediatek MT6750 Octa Core 1.5 GHz Processor
ColorOS 3.1 Based on Android Nougat 7.1
Dedicated SD Card Slot
",4.2
JIVI X111,"₹1,099","3 MB RAM | 30 KB ROM | Expandable Upto 8 GB
1.8 inch QVGA Display
0.3MP Rear Camera
2800 mAh Battery
",3.5
MTR Mt Smart,₹720,"64 MB RAM | 64 MB ROM |
1.8 inch Display
0.3MP Rear Camera
800 mAh Battery
",3.7
"Micromax Evok Power (Grey, 16 GB)","₹6,999","2 GB RAM | 16 GB ROM | Expandable Upto 32 GB
5 inch HD Display
8MP Rear Camera | 5MP Front Camera
4000 mAh Li-Ion Polymer Battery
Mediatek MT6737 Quad Core 1.3GHz Processor
",3.9
Celkon C107,₹870,"32 MB RAM | 32 MB ROM | Expandable Upto 16 GB
1.8 inch Quarter QVGA Display
1.3MP Rear Camera
800 mAh Battery
NA Processor
",3.7
M-tech V9,₹839,"32 MB RAM | 32 MB ROM | Expandable Upto 32 GB
2.4 inch QVGA Display
0.08MP Rear Camera
1000 mAh Battery
",3.6
Celkon Spark+,"₹1,320","Expandable Upto 16 GB
2.4 inch Display
1.3MP Rear Camera
1800 mAh Battery
",3.8
"LYF Water 8 (White, 16 GB)","₹6,899","3 GB RAM | 16 GB ROM | Expandable Upto 128 GB
5 inch HD Display
13MP Rear Camera | 5MP Front Camera
2600 mAh Li-Ion Battery
Qualcomm Snapdragon 615 Octa Core 1.5GHz Processor
",3.7
Ssky N230,"₹1,349","32 MB RAM | 256 MB ROM |
2.4 inch Display
2MP Rear Camera
3000 mAh Battery
",3.5
M-tech V9,"₹1,199","32 MB RAM | 32 MB ROM | Expandable Upto 32 GB
2.4 inch QVGA Display
0.08MP Rear Camera
1000 mAh Battery
",3.6
Mafe UNO,₹699,"Expandable Upto 16 GB
1.8 inch QVGA Display
1.8MP Rear Camera
1050 mAh Battery
",4
M-tech V9,"₹1,199","32 MB RAM | 32 MB ROM | Expandable Upto 32 GB
2.4 inch QVGA Display
0.08MP Rear Camera
1000 mAh Battery
",3.6
"Lenovo K3 Note (Black, 16 GB)","₹8,499","2 GB RAM | 16 GB ROM | Expandable Upto 32 GB
5.5 inch Full HD Display
13MP Rear Camera | 5MP Front Camera
2900 mAh Li-Ion Battery
ARM Cortex-A53 (MediaTek MT6752 64-bit 4G LTE) Processor
",4
Ssky S1000 Ultra,₹799,"64 MB RAM | 64 MB ROM |
2.36 inch Display
1250 mAh Battery
",4
Ssky S1000 Ultra,₹899,"64 MB RAM | 64 MB ROM |
2.36 inch HD Display
1250 mAh Battery
",4
Itel IT5231,"₹1,340","64 MB RAM | 64 MB ROM |
2.4 inch Display
0.3MP Rear Camera
1900 mAh Battery
",3.9
Gfive U440,₹699,"32 MB RAM | 32 MB ROM |
1.8 inch Display
1.3MP Rear Camera
950 mAh Battery
",4
Spice Endura,"₹1,099","56 MB RAM | 36 MB ROM |
1.8 inch Display
0.03MP Rear Camera
2500 mAh Battery
",3.9
GLX W22 Pack of Three Mobiles,"₹1,649","32 MB RAM | 64 MB ROM | Expandable Upto 8 GB
1.8 inch Quarter QVGA Display
0.3MP Rear Camera
950 mAh Battery
",4
BlackBear B5 Volcano,₹899,"512 MB RAM | 512 MB ROM | Expandable Upto 32 GB
1.8 inch Display
0.3MP Rear Camera | 0.3MP Front Camera
2000 mAh Battery
",3.5
"Samsung Galaxy S8 Plus (Maple Gold, 64 GB)","₹51,990","4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
6.2 inch Quad HD+ Display
12MP Rear Camera | 8MP Front Camera
3500 mAh Battery
Exynos 8895 Octa Core 2.3GHz Processor
",4.6
Celkon C2233,₹999,"512 MB RAM | 512 MB ROM |
2.4 inch Display
1.3MP Rear Camera
1800 mAh Battery
",3.3
Celkon C26,"₹1,290","2.4 inch QVGA Display
1.3MP Rear Camera
800 mAh Battery
",3.5
I Kall K55 Combo Of Two Mobile,"₹1,199","32 MB RAM | 64 MB ROM | Expandable Upto 8 GB
1.8 inch Display
0.3MP Rear Camera
1000 mAh Battery
",4
Gfive U440,₹679,"32 MB RAM | 32 MB ROM |
1.8 inch Display
1.3MP Rear Camera
950 mAh Battery
",4
Snexian M3033 Combo of Two Mobiles,"₹1,089","32 MB RAM | 32 MB ROM | Expandable Upto 16 GB
1.8 inch QVGA Display
0.3MP Rear Camera
1000 mAh Battery
",4
I Kall K55 Combo Of Two Mobile,"₹1,199","32 MB RAM | 64 MB ROM | Expandable Upto 8 GB
1.8 inch Display
0.3MP Rear Camera
1000 mAh Battery
",4
Zen X62,₹905,"1.8 inch Display
1.3MP Rear Camera
1750 mAh Battery
",3.8
Micromax X1i-2017,"₹1,069","32 MB ROM | Expandable Upto 8 GB
2.4 inch QVGA Display
0.8MP Rear Camera
1300 mAh Battery
",3.7
"Alcatel Pixi4 (Metal Silver, 8 GB)","₹4,299","1 GB RAM | 8 GB ROM | Expandable Upto 32 GB
5 inch FWVGA Display
8MP Rear Camera | 5MP Front Camera
2000 mAh Li-Ion Battery
MTK6735M Processor
",3.3
Itel IT5602,"₹1,049","32 MB RAM | 32 MB ROM | Expandable Upto 32 GB
1.8 inch Quarter QVGA Display
2MP Dual Rear Camera | 0.3MP + 0.3MP Dual Front Camera
2500 mAh Battery
NA Processor
",3.2
Rocktel R7,₹569,"10 MB RAM | 32 MB ROM | Expandable Upto 16 GB
1.8 inch Quarter QVGA Display
0.03MP Rear Camera
800 mAh Battery
",3.4
Lava KKT Trio Plus,"₹1,559","Expandable Upto 32 GB
2.8 inch QVGA Display
1.3MP Rear Camera
2800 mAh Li-Polymer Battery
SPD6531DA Processor
",3.8
Mido M-66+,₹599,"32 MB RAM | 32 MB ROM |
1.8 inch Display
0.3MP Rear Camera
1000 mAh Battery
",3.5
"Lenovo VIBE P1 (Grey, 32 GB)","₹15,999","2 GB RAM | 32 GB ROM | Expandable Upto 128 GB
5.5 inch Full HD Display
13MP Rear Camera | 5MP Front Camera
4900 mAh Li-Polymer Battery
Qualcomm Snapdragon 615 64-bit Processor
",4.1
JIVI X606,₹848,"3 MB RAM | 30 KB ROM | Expandable Upto 8 GB
1.8 inch QVGA Display
0.3MP Rear Camera
1800 mAh Battery
",3.5
Heemax M3,₹579,"32 MB RAM | 32 MB ROM | Expandable Upto 8 GB
1.8 inch QVGA Display
0.3MP Rear Camera
1000 mAh Battery
",3.3
JIVI X606,₹855,"3 MB RAM | 30 KB ROM | Expandable Upto 8 GB
1.8 inch QVGA Display
0.3MP Rear Camera
1800 mAh Battery
",3.5
Gfive Alpha,₹879,"32 MB RAM | 64 MB ROM | Expandable Upto 32 GB
2.4 inch Quarter QVGA Display
1800 mAh Battery
",3.8
"InFocus Epic 1 (Gold, 32 GB)","₹9,377","3 GB RAM | 32 GB ROM | Expandable Upto 128 GB
5.5 inch Full HD Display
16MP Rear Camera | 8MP Front Camera
3000 mAh Lithium-ion Polymer Battery
MediaTek MT6797M Helio X20 0 2.3GHz Processor
",3.8
Ziox Thunder Elite,₹980,"128 MB RAM | 20 MB ROM |
2.4 inch Display
0.3MP Rear Camera
2400 mAh Battery
",4.7
Gfive W1 Combo of Two Mobile,"₹2,300","32 MB RAM | 64 MB ROM | Expandable Upto 16 GB
2.2 inch Display
0.3MP Rear Camera
3000 mAh Battery
",3.6
